Species,Family,Signal_Type,Fppeak,Fp_mean_K,Fp_max,Fp_min,Dur,IPI,Data
Chaerephon atsinanana,Molossidae,QCF,37.485,,46.875,31.25,9.167,106.126,complete
Chaerephon atsinanana,Molossidae,QCF,35.611,,48.828,31.25,13.045,75.805,complete
Chaerephon atsinanana,Molossidae,QCF,36.643,,44.922,29.297,14.293,80.875,complete
Chaerephon atsinanana,Molossidae,QCF,37.221,37.859,48.828,29.297,5.752,76.704,complete
Chaerephon atsinanana,Molossidae,QCF,32.999,33.065,39.063,27.344,10.098,73.811,complete
Chaerephon atsinanana,Molossidae,QCF,34.812,36.185,41.016,29.297,6.432,150.515,complete
Chaerephon atsinanana,Molossidae,QCF,36.559,37.069,44.922,27.344,11.375,156.4,complete
Chaerephon atsinanana,Molossidae,QCF,33.577,33.594,39.063,27.344,7.499,80.893,complete
Chaerephon atsinanana,Molossidae,QCF,33.317,33.298,41.016,27.344,11.475,78.799,complete
Chaerephon atsinanana,Molossidae,QCF,32.646,33.172,37.109,27.344,7.104,81.591,complete
Chaerephon atsinanana,Molossidae,QCF,33.438,34.004,39.063,27.344,9.301,61.543,complete
Chaerephon atsinanana,Molossidae,QCF,33.4,34.182,37.109,29.297,3.798,91.297,complete
Chaerephon atsinanana,Molossidae,QCF,33.383,33.434,41.016,27.344,10.204,77.701,complete
Chaerephon atsinanana,Molossidae,QCF,33.609,34.182,41.016,27.344,13.231,100.044,complete
Chaerephon atsinanana,Molossidae,QCF,33.824,34.656,41.016,25.391,9.774,75.707,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.097,32.665,37,22,2.32,77.003,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.809,32.657,37,23,3.097,22.343,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.663,32.471,37,22,3.445,52.566,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.106,30.46,35,24,2.756,25.036,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,33.002,32.308,37,22,2.918,72.215,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,32.078,31.63,37,22,2.422,24.936,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.876,31.08,36,23,2.396,60.047,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,35.012,34.405,39,23,3.421,66.131,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,32.216,31.697,36,30,3.433,87.576,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,30.967,29.861,34,22,2.862,76.006,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.913,30.764,36,23,2.051,34.612,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,32.946,32.36,37,23,2.277,22.343,complete
Coleura kibomalandy,Emballonuridae,QCF/FM,31.733,31.003,36,24,2.832,27.33,complete
Laephotis matroka,Vespertilionidae,FM/QCF,45.061,50.666,86,37,2.244,67.298,complete
Laephotis matroka,Vespertilionidae,FM/QCF,48.029,53.216,51,45,2.887,87.429,complete
Laephotis matroka,Vespertilionidae,FM/QCF,47.07,54.98,77,37,2.278,18.406,complete
Laephotis matroka,Vespertilionidae,FM/QCF,46.036,50.119,75,37,2.225,63.271,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.226,49.374,74,45,3.082,64.997,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.954,44.327,73,47,3.428,168.819,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.061,51.421,56,46,3.407,87.429,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.86,53.528,70,45,4.266,80.815,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.024,46.096,53,46,3.765,62.409,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.218,46.533,74,48,3.01,127.405,complete
Laephotis matroka,Vespertilionidae,FM/QCF,51.162,58.772,54,47,4.508,55.506,complete
Laephotis matroka,Vespertilionidae,FM/QCF,50.221,46.462,56,47,4.319,81.39,complete
